Name,Rating,Hourly Taxed,,,,,,,,,,,,,,,,,,,,,,,,,
John Barnes,86,216600,,,,,,,,,,,,,,,,,,,,,,,,,
Gianluca Zambrotta,86,455050,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Schmeichel,86,164350,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Hierro,86,218500,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Carlos,86,464550,,,,,,,,,,,,,,,,,,,,,,,,,
Puyol,86,199500,,,,,,,,,,,,,,,,,,,,,,,,,
Hidetoshi Nakata,86,137750,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Sebastian Veron,86,258400,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Rijkaard,86,218500,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Overmars,86,147250,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Lampard,86,218500,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Keane,86,185250,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Vieira,86,1534250,,,,,,,,,,,,,,,,,,,,,,,,,
Pavel Nedved,86,297350,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Gerrard,86,356250,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Ballack,86,373825,,,,,,,,,,,,,,,,,,,,,,,,,
Ruud Gullit,86,1011750,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Vieri,86,137750,,,,,,,,,,,,,,,,,,,,,,,,,
Henrik Larsson,86,175750,,,,,,,,,,,,,,,,,,,,,,,,,
Ruud van Nistelrooy,86,142500,,,,,,,,,,,,,,,,,,,,,,,,,
David Trezeguet,86,141550,,,,,,,,,,,,,,,,,,,,,,,,,
Andriy Shevchenko,86,266950,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Owen,86,152000,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Kluivert,86,180500,,,,,,,,,,,,,,,,,,,,,,,,,
Raul,86,146300,,,,,,,,,,,,,,,,,,,,,,,,,
Petr Cech,86,236550,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Wright,85,209000,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Essien,85,722000,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Koeman,85,171950,,,,,,,,,,,,,,,,,,,,,,,,,
Pep Guardiola,85,204250,,,,,,,,,,,,,,,,,,,,,,,,,
Sol Campbell,85,536750,,,,,,,,,,,,,,,,,,,,,,,,,
Rio Ferdinand,85,817000,,,,,,,,,,,,,,,,,,,,,,,,,
Laurent Blanc,85,878750,,,,,,,,,,,,,,,,,,,,,,,,,
Hidetoshi Nakata,85,142975,,,,,,,,,,,,,,,,,,,,,,,,,
Gennaro Gattuso,85,298300,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Pires,85,139650,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Petit,85,217550,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Jay Okocha,85,285000,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Makelele,85,273125,,,,,,,,,,,,,,,,,,,,,,,,,
Jari Litmanen,85,136325,,,,,,,,,,,,,,,,,,,,,,,,,
Deco,85,140600,,,,,,,,,,,,,,,,,,,,,,,,,
Rui Costa,85,152000,,,,,,,,,,,,,,,,,,,,,,,,,
Clarence Seedorf,85,589000,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Laudrup,85,160550,,,,,,,,,,,,,,,,,,,,,,,,,
Gheorghe Hagi,85,218500,,,,,,,,,,,,,,,,,,,,,,,,,
Gianfranco Zola,85,554800,,,,,,,,,,,,,,,,,,,,,,,,,
Filippo Inzaghi,85,134900,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Hernandez,85,323000,,,,,,,,,,,,,,,,,,,,,,,,,
Hernan Crespo,85,194750,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Cole,85,323000,,,,,,,,,,,,,,,,,,,,,,,,,
Davor Suker,85,252225,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Torres,85,361000,,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Vidic,85,339150,,,,,,,,,,,,,,,,,,,,,,,,,
